City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,arraial do cabo,20,BR,1524543629,96,-22.97,-42.02,72.76,6.73
88,nikolskoye,0,RU,1524540600,69,59.7,30.79,33.8,6.71
89,havre-saint-pierre,40,CA,1524542400,85,50.23,-63.6,32.0,9.17
90,lebu,40,ET,1524538800,82,8.96,38.73,57.2,4.7
91,narsaq,75,GL,1524538200,64,60.91,-46.05,37.4,3.36
92,kapaa,40,US,1524542160,78,22.08,-159.32,75.2,17.22
93,castro,36,CL,1524543502,96,-42.48,-73.76,39.73,2.15
94,ngunguru,56,NZ,1524544108,100,-35.62,174.5,63.85,3.71
95,kuytun,20,RU,1524544108,55,54.34,101.51,63.58,4.16
96,hofn,92,IS,1524544108,100,64.25,-15.21,39.82,4.61
97,longyearbyen,20,NO,1524541800,61,78.22,15.63,14.0,20.8
98,thompson,90,CA,1524538800,85,55.74,-97.86,21.2,8.05
99,soto la marina,92,MX,1524544109,74,23.77,-98.21,76.18,9.64
100,faanui,32,PF,1524543720,100,-16.48,-151.75,81.04,7.63
101,banikoara,0,BJ,1524544109,55,11.3,2.44,71.86,6.06
102,yumen,8,CN,1524544109,66,40.29,97.04,56.92,3.94
103,norman wells,75,CA,1524542400,59,65.28,-126.83,33.8,4.7
104,vikulovo,0,RU,1524544110,79,55.07,40.96,23.62,3.71
105,georgetown,20,GY,1524538800,94,6.8,-58.16,75.2,6.93
106,chanika,0,MW,1524544110,92,-12.93,34.19,67.36,8.3
107,west lake stevens,1,US,1524543300,54,48.0,-122.1,60.8,2.71
108,dingle,44,PH,1524543680,70,11.0,122.67,87.43,6.17
109,east london,0,ZA,1524538800,60,-33.02,27.91,68.0,17.22
110,bonavista,0,CA,1524544111,85,48.65,-53.11,32.53,7.63
111,hami,48,CN,1524543699,33,42.84,93.51,74.92,5.84
112,bosanska kostajnica,0,HR,1524542400,82,45.22,16.54,55.4,1.12
113,neyshabur,68,IR,1524544111,98,36.21,58.79,53.05,5.61
114,laguna,20,MX,1524544112,24,27.52,-110.01,77.44,3.6
115,nsanje,0,MZ,1524544112,88,-16.92,35.26,67.36,2.71
116,sitka,0,US,1524543635,62,37.17,-99.65,56.83,7.4
117,los llanos de aridane,76,ES,1524542400,77,28.66,-17.92,64.4,19.46
118,orcopampa,92,PE,1524544112,99,-15.27,-72.34,33.25,2.15
119,wilmington,1,US,1524543300,68,39.75,-75.55,51.8,8.41
120,avera,40,US,1524543300,93,33.19,-82.53,66.2,6.93
121,tondano,40,ID,1524542400,63,1.3,124.91,91.4,5.82
122,kudahuvadhoo,80,MV,1524544113,99,2.67,72.89,85.45,12.33
123,tasiilaq,64,GL,1524538200,79,65.61,-37.64,24.8,2.24
124,diego de almagro,0,CL,1524543566,91,-26.39,-70.05,59.53,2.15
125,ketchikan,90,US,1524542160,93,55.34,-131.65,44.6,12.75
126,comodoro rivadavia,0,AR,1524538800,96,-45.87,-67.48,48.2,10.29
127,bibiani,68,GH,1524544114,97,6.45,-2.31,72.4,2.93
128,teya,5,MX,1524541680,74,21.05,-89.07,80.6,5.82
129,fortuna,40,ES,1524542400,52,38.18,-1.13,68.0,28.86
130,saint-pierre,90,FR,1524542400,93,48.95,4.24,48.2,3.36
131,plettenberg bay,92,ZA,1524544114,96,-34.05,23.37,59.8,12.21
132,imeni poliny osipenko,80,RU,1524544114,48,52.42,136.49,57.46,6.51
133,sioux lookout,20,CA,1524539400,64,50.1,-91.92,42.8,4.7
134,okhotsk,0,RU,1524544115,64,59.36,143.24,39.82,8.75
135,kruisfontein,32,ZA,1524544115,90,-34.0,24.73,62.05,16.35
136,seoul,75,KR,1524540600,58,37.57,126.98,59.0,13.87
137,dharchula,8,IN,1524544115,64,29.85,80.53,42.52,1.59
138,jacareacanga,76,BR,1524544115,98,-6.22,-57.76,73.93,2.15
139,chuy,100,UY,1524543656,99,-33.69,-53.46,68.62,7.63
140,vao,88,EE,1524543544,88,59.1,26.19,41.17,9.53
141,lola,0,GN,1524544116,95,7.8,-8.53,70.06,3.6
142,soissons,0,FR,1524544116,67,49.38,3.32,48.55,2.71
143,grand gaube,75,MU,1524542400,94,-20.01,57.66,77.0,28.86
144,mount gambier,68,AU,1524543721,76,-37.83,140.78,70.78,5.73
145,caronport,20,CA,1524543904,79,50.46,-105.81,34.96,3.15
